superclass,neighbors_in_class,count
Benzenoids,8,984
Benzenoids,7,581
Benzenoids,6,268
Benzenoids,5,164
Benzenoids,4,111
Benzenoids,3,63
Benzenoids,2,31
Benzenoids,1,14
Benzenoids,0,10
Lipids and lipid-like molecules,8,98
Lipids and lipid-like molecules,7,55
Lipids and lipid-like molecules,5,51
Lipids and lipid-like molecules,4,46
Lipids and lipid-like molecules,3,45
Lipids and lipid-like molecules,6,38
Lipids and lipid-like molecules,2,37
Lipids and lipid-like molecules,1,21
Lipids and lipid-like molecules,0,17
Organic acids and derivatives,7,193
Organic acids and derivatives,8,193
Organic acids and derivatives,6,125
Organic acids and derivatives,5,124
Organic acids and derivatives,4,91
Organic acids and derivatives,2,60
Organic acids and derivatives,3,55
Organic acids and derivatives,1,44
Organic acids and derivatives,0,41
Organic nitrogen compounds,7,91
Organic nitrogen compounds,8,69
Organic nitrogen compounds,5,51
Organic nitrogen compounds,6,47
Organic nitrogen compounds,1,43
Organic nitrogen compounds,3,42
Organic nitrogen compounds,4,40
Organic nitrogen compounds,2,37
Organic nitrogen compounds,0,22
Organic oxygen compounds,8,71
Organic oxygen compounds,4,68
Organic oxygen compounds,2,55
Organic oxygen compounds,6,51
Organic oxygen compounds,1,48
Organic oxygen compounds,5,48
Organic oxygen compounds,7,47
Organic oxygen compounds,3,35
Organic oxygen compounds,0,29
Organohalogen compounds,4,32
Organohalogen compounds,7,29
Organohalogen compounds,8,28
Organohalogen compounds,5,19
Organohalogen compounds,2,15
Organohalogen compounds,6,15
Organohalogen compounds,3,11
Organohalogen compounds,0,9
Organohalogen compounds,1,5
Organoheterocyclic compounds,8,430
Organoheterocyclic compounds,7,304
Organoheterocyclic compounds,6,176
Organoheterocyclic compounds,5,157
Organoheterocyclic compounds,4,144
Organoheterocyclic compounds,3,136
Organoheterocyclic compounds,2,117
Organoheterocyclic compounds,1,89
Organoheterocyclic compounds,0,60
Organosulfur compounds,3,32
Organosulfur compounds,2,28
Organosulfur compounds,1,20
Organosulfur compounds,0,19
Organosulfur compounds,4,12
Organosulfur compounds,5,8
Organosulfur compounds,6,3
Organosulfur compounds,7,1
Phenylpropanoids and polyketides,0,21
Phenylpropanoids and polyketides,1,21
Phenylpropanoids and polyketides,7,19
Phenylpropanoids and polyketides,5,18
Phenylpropanoids and polyketides,8,17
Phenylpropanoids and polyketides,2,16
Phenylpropanoids and polyketides,6,15
Phenylpropanoids and polyketides,3,14
Phenylpropanoids and polyketides,4,13
unknown,0,135
unknown,1,39
unknown,2,5
